state,avg_crime,avg_income,avg_poverty
Johor,32981.5,2699.714285714286,15.015384615384615
Kedah,21592.5,1807.7142857142858,14.876923076923077
Kelantan,12674,1501.6190476190477,13.592307692307692
Melaka,8990,2583.6666666666665,14.761538461538462
Negeri Sembilan,11696,2299.2380952380954,14.623076923076923
Pahang,11192.5,1989.1904761904761,10.407692307692308
Perak,17176,1917.6190476190477,15.061538461538461
Perlis,2009.5,1829.4285714285713,15.023076923076923
Pulau Pinang,18326.5,2739.904761904762,14.953846153846154
Sabah,19472,1982.3684210526317,17.546153846153846
Sarawak,21568,2148.4736842105262,16.246153846153845
Selangor,78813.625,3613.3333333333335,15.9
Terengganu,7492,2021.095238095238,14.207692307692307
W.P. Kuala Lumpur,38850.5,4530.555555555556,15.138461538461538
